Date,Open,High,Low,Close,Adj Close,Volume
2021-02-04,0.009510,0.009510,0.009477,0.009477,0.009477,35
2021-02-05,0.009474,0.009488,0.009465,0.009484,0.009484,112
2021-02-08,0.009472,0.009514,0.009472,0.009504,0.009504,124
2021-02-09,0.009537,0.009566,0.009537,0.009566,0.009566,29
2021-02-10,0.009565,0.009571,0.009546,0.009556,0.009556,85
2021-02-11,0.009561,0.009561,0.009542,0.009546,0.009546,139
2021-02-12,0.009545,0.009545,0.009511,0.009518,0.009518,76741
2021-02-16,0.009530,0.009531,0.009430,0.009445,0.009445,149748
2021-02-17,0.009426,0.009456,0.009415,0.009444,0.009444,115088
2021-02-18,0.009447,0.009472,0.009442,0.009462,0.009462,82854
2021-02-19,0.009464,0.009504,0.009457,0.009481,0.009481,109246
2021-02-22,0.009480,0.009526,0.009449,0.009523,0.009523,110752
2021-02-23,0.009520,0.009533,0.009486,0.009496,0.009496,84066
2021-02-24,0.009504,0.009508,0.009426,0.009441,0.009441,130195
2021-02-25,0.009446,0.009449,0.009399,0.009415,0.009415,141763
2021-02-26,0.009412,0.009449,0.009374,0.009379,0.009379,143106
2021-03-01,0.009383,0.009402,0.009356,0.009364,0.009364,87290
2021-03-02,0.009365,0.009375,0.009350,0.009368,0.009368,75157
2021-03-03,0.009372,0.009374,0.009333,0.009348,0.009348,81964
2021-03-04,0.009348,0.009349,0.009260,0.009268,0.009268,114129
2021-03-05,0.009262,0.009275,0.009205,0.009231,0.009231,131155
2021-03-08,0.009227,0.009233,0.009179,0.009186,0.009186,118643
2021-03-09,0.009181,0.009224,0.009155,0.009220,0.009220,155119
2021-03-10,0.009216,0.009231,0.009181,0.009225,0.009225,186542
2021-03-11,0.009224,0.009228,0.009190,0.009220,0.009220,155412
2021-03-12,0.009213,0.009216,0.009139,0.009169,0.009169,25469
2021-03-15,0.009176,0.009178,0.009146,0.009157,0.009157,63
2021-03-16,0.009158,0.009194,0.009154,0.009178,0.009178,130
